"APDB_idx","AID","Molecule_CID","SID","Activity_Outcome","Target_GI","Target_GeneID","Target_Symbol","UniProtKB","Activity_Value_uM","Activity_Name","Assay_Name","Assay_Type","PubMed_ID"
"B.309",1259403,15910,144211179,"Active",325495545,2101,"ESRRA","P11474",3.71186,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary","Summary",NA
"B.310",1346795,15910,144208885,"Active",82393684,5241,"PGR","P06401",3.3713,"Potency","qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway","Confirmatory",NA
"B.311",1346795,15910,144211179,"Active",82393684,5241,"PGR","P06401",3.8571,"Potency","qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway","Confirmatory",NA
"B.312",1346982,15910,144208885,"Active",325495557,8856,"NR1I2","O75469",0.9502,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.313",1346982,15910,144211179,"Active",325495557,8856,"NR1I2","O75469",1.9331,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.314",1347031,15910,144208885,"Active",82393684,5241,"PGR","P06401",NA,NA,"Progesterone receptor (PR) small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.315",1347031,15910,144211179,"Active",82393684,5241,"PGR","P06401",NA,NA,"Progesterone receptor (PR) small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.316",1347032,15910,144208885,"Active",15928762,4087,"SMAD2","Q15796",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.317",1347032,15910,144208885,"Active",29792115,4088,"SMAD3","P84022",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.318",1347032,15910,144211179,"Active",15928762,4087,"SMAD2","Q15796",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.319",1347032,15910,144211179,"Active",29792115,4088,"SMAD3","P84022",NA,NA,"TGF-beta/Smad small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.320",1347395,15910,144208885,"Active",177975,43,"ACHE","P22303",15.5927,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.321",1347395,15910,144211179,"Active",177975,43,"ACHE","P22303",17.8293,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.322",1671196,15910,144208885,"Active",1047837853,1565,"CYP2D6","C1ID52",34.9078,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.323",1671197,15910,144208885,"Active",55140668,1557,"CYP2C19","P33261",17.4953,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.324",1671197,15910,144211179,"Active",55140668,1557,"CYP2C19","P33261",22.4458,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.325",1671198,15910,144208885,"Active",527178914,1559,"CYP2C9","P11712",5.5325,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.326",1671198,15910,144211179,"Active",527178914,1559,"CYP2C9","P11712",5.6381,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.327",1671199,15910,144208885,"Active",119619719,1544,"CYP1A2","P05177",0.9838,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.328",1671199,15910,144211179,"Active",119619719,1544,"CYP1A2","P05177",1.0026,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.329",1671201,15910,144208885,"Active",115371803,1576,"CYP3A4","P08684",0.9838,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.330",1671201,15910,144211179,"Active",115371803,1576,"CYP3A4","P08684",1.2622,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.331",884,2730,17389921,"Active",13435386,1576,"CYP3A4","P08684",5.0119,"Potency","qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4","Confirmatory",NA
"B.332",940,2730,26613395,"Active",31881630,5732,"PTGER2","P43116",NA,NA,"Modulators of the EP2 prostaglandin E2 receptor - Primary Screening","Screening",NA
"B.333",1080,2730,26613395,"Active",31881630,5732,"PTGER2","P43116",NA,NA,"Modulators of the EP2 prostaglandin EP2 receptor - Primary Counterscreens","Other",NA
"B.334",1421,2730,26613395,"Active",31881630,5732,"PTGER2","P43116",20,"Active Concentration","Modulators of the EP2 prostaglandin EP2 receptor - Primary Dose Response","Confirmatory",NA
"B.335",504847,2730,26747367,"Active",63054845,7421,"VDR","F1D8P8",31.6228,"Potency","Inhibitors of the vitamin D receptor (VDR): qHTS","Confirmatory",NA
"B.336",602410,2730,49731957,"Active",11093520,3777,"KCNK3","O14649",NA,NA,"Primary cell-based screen for identification of compounds that inhibit the two-pore domain potassium channel KCNK3","Screening",NA
"B.337",651741,2730,17389921,"Active",20149576,4780,"NFE2L2","Q16236",37.578,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.338",651741,2730,26753019,"Active",20149576,4780,"NFE2L2","Q16236",30.6379,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.339",651741,2730,26753020,"Active",20149576,4780,"NFE2L2","Q16236",27.306,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.340",651741,2730,26753021,"Active",20149576,4780,"NFE2L2","Q16236",54.4827,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.341",720504,2730,49731957,"Active",21359873,5347,"PLK1","P53350",29.9349,"Potency","qHTS for Inhibitors of PLK1-PDB (polo-like kinase 1 - polo-box domain): Primary Screen","Confirmatory",NA
"B.342",743085,2730,144209581,"Active",51095037,196,"AHR","A0A024R9Z8",27.3616,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway","Confirmatory",NA
"B.343",743085,2730,144210468,"Active",51095037,196,"AHR","A0A024R9Z8",10.8707,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway","Confirmatory",NA
"B.344",743122,2730,144209581,"Active",51095037,196,"AHR","A0A024R9Z8",26.8416,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.345",743122,2730,144210468,"Active",51095037,196,"AHR","A0A024R9Z8",9.68854,"Potency","qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary","Summary",NA
"B.346",743219,2730,144210468,"Active",20149576,4780,"NFE2L2","Q16236",34.3762,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway: Summary","Summary",NA
"B.347",1159528,2730,144209581,"Active",119627033,3725,"JUN","P05412",34.7588,"Potency","qHTS assay to identify small molecule agonists of the AP-1 signaling pathway: Summary","Summary",NA
"B.348",1159528,2730,144210468,"Active",119627033,3725,"JUN","P05412",21.8724,"Potency","qHTS assay to identify small molecule agonists of the AP-1 signaling pathway: Summary","Summary",NA
"B.349",1159552,2730,144209581,"Active",325495463,5914,"RARA","P10276",30.7002,"Potency","qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway","Confirmatory",NA
"B.350",1224839,2730,144209581,"Active",66775687,9970,"NR1I3","Q14994",27.3616,"Potency","qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway","Confirmatory",NA
"B.351",1224839,2730,144210468,"Active",66775687,9970,"NR1I3","Q14994",30.6379,"Potency","qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway","Confirmatory",NA
"B.352",1224841,2730,144209581,"Active",325495545,2101,"ESRRA","P11474",43.3652,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library","Confirmatory",NA
"B.353",1224848,2730,144209581,"Active",325495545,2101,"ESRRA","P11474",61.2549,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library","Confirmatory",NA
"B.354",1224892,2730,144209581,"Active",66775687,9970,"NR1I3","Q14994",NA,NA,"qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway: Summary","Summary",NA
"B.355",1224892,2730,144210468,"Active",66775687,9970,"NR1I3","Q14994",NA,NA,"qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway: Summary","Summary",NA
"B.356",1259243,2730,144209581,"Active",124375976,367,"AR","P10275",27.3616,"Potency","qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line in the presence of 0.5 nM R1881","Confirmatory",NA
"B.357",1259385,2730,144209581,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",27.3616,"Potency","qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway","Confirmatory",NA
"B.358",1259385,2730,144210468,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",54.4827,"Potency","qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway","Confirmatory",NA
"B.359",1259395,2730,144209581,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",37.9147,"Potency","qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary","Summary",NA
"B.360",1259395,2730,144210468,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",56.6142,"Potency","qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary","Summary",NA
"B.361",1259416,2730,375172192,"Active",56786138,3458,"IFNG","P01579",NA,NA,"Toxoplasma gondii inhibition HTS in the presence of IFN-y","Screening",NA
"B.362",1346982,2730,144209581,"Active",325495557,8856,"NR1I2","O75469",17.264,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.363",1347031,2730,144210468,"Active",82393684,5241,"PGR","P06401",NA,NA,"Progesterone receptor (PR) small molecule antagonists, qHTS assay: Summary","Summary",NA
"B.364",1347395,2730,144209581,"Active",177975,43,"ACHE","P22303",35.6903,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.365",1347395,2730,144210468,"Active",177975,43,"ACHE","P22303",35.5742,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA
"B.366",1347397,2730,144209581,"Active",177975,43,"ACHE","P22303",79.9007,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay","Confirmatory",NA
"B.367",1347398,2730,144209581,"Active",177975,43,"ACHE","P22303",35.6903,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay","Confirmatory",NA
"B.368",1347398,2730,144210468,"Active",177975,43,"ACHE","P22303",35.5742,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay","Confirmatory",NA
"B.369",1347399,2730,144209581,"Active",177975,43,"ACHE","P22303",0.0566,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay with human liver microsomes","Confirmatory",NA
"B.370",1347399,2730,144210468,"Active",177975,43,"ACHE","P22303",0.8936,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay with human liver microsomes","Confirmatory",NA
"B.371",1671197,2730,144209581,"Active",55140668,1557,"CYP2C19","P33261",2.2519,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.372",1671197,2730,144210468,"Active",55140668,1557,"CYP2C19","P33261",5.025,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.373",1671198,2730,144209581,"Active",527178914,1559,"CYP2C9","P11712",7.9901,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.374",1671198,2730,144210468,"Active",527178914,1559,"CYP2C9","P11712",10.0262,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.375",1671199,2730,144209581,"Active",119619719,1544,"CYP1A2","P05177",2.5267,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.376",1671199,2730,144210468,"Active",119619719,1544,"CYP1A2","P05177",3.5574,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.377",1671201,2730,144209581,"Active",115371803,1576,"CYP3A4","P08684",1.1286,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.378",1671201,2730,144210468,"Active",115371803,1576,"CYP3A4","P08684",2.0005,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.379",646176,11564,136929198,"Active",129219,5956,"OPN1LW",NA,NA,NA,"Inverse agonist activity at human red cone opsin expressed in COS1 cells assessed as transducer activity at 2 mM by radioactive filter binding assay","Other",21314100
"B.380",1671199,335,144210341,"Active",119619719,1544,"CYP1A2","P05177",39.9149,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.381",1671197,20138,144207514,"Active",55140668,1557,"CYP2C19","P33261",33.9841,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.382",887,6629,17389088,"Active",1832253,246,"ALOX15","P16050",0.1259,"Potency","qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase)","Confirmatory",NA
"B.383",588514,6629,26753098,"Active",348019627,2099,"ESR1","G4XH65",12.5893,"Potency","qHTS assay for small molecule agonists of estrogen receptor alpha signaling","Confirmatory",NA
"B.384",651802,6629,17389088,"Active",49066040,6097,"RORC","F1D8P6",42.1632,"Potency","qHTS assay for small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway","Confirmatory",NA
"B.385",743228,6629,144210603,"Active",4504517,3315,"HSPB1","P04792",59.3239,"Potency","qHTS assay for small molecule activators of the heat shock response signaling pathway: Summary","Summary",NA
"B.386",1224843,6629,144210603,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",34.3762,"Potency","qHTS assay to identify small molecule agonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway","Confirmatory",NA
"B.387",1224893,6629,144210603,"Active",66775687,9970,"NR1I3","Q14994",43.2771,"Potency","qHTS assay to identify small molecule antagonists of the constitutive androstane receptor (CAR) signaling pathway: Summary","Summary",NA
"B.388",1224895,6629,144210603,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",45.8415,"Potency","qHTS assay to identify small molecule agonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary","Summary",NA
"B.389",1259392,6629,144210603,"Active",109731339,2737,"GLI3","P10071",48.5577,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary","Summary",NA
"B.390",1671197,6629,144210603,"Active",55140668,1557,"CYP2C19","P33261",35.5742,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.391",1671198,6629,144210603,"Active",527178914,1559,"CYP2C9","P11712",39.9149,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.392",1671199,6629,144210603,"Active",119619719,1544,"CYP1A2","P05177",25.1846,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.393",651710,7967,56462788,"Active",109637798,5893,"RAD52","P43351",NA,NA,"FRET-based HTS for detection of RAD52 Inhibitors Measured in Biochemical System Using Plate Reader - 7018-01_Inhibitor_SinglePoint_HTS_Activity_Set2","Screening",NA
"B.394",1671197,7967,144209319,"Active",55140668,1557,"CYP2C19","P33261",74.5848,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.395",1671196,9253,144207400,"Active",1047837853,1565,"CYP2D6","C1ID52",34.821,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.396",651741,22311,26757135,"Active",20149576,4780,"NFE2L2","Q16236",1122.02,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.397",743040,22311,144213720,"Active",124375976,367,"AR","P10275",28.2808,"Potency","qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line","Confirmatory",NA
"B.398",1030,8343,17389881,"Active",30582681,216,"ALDH1A1","P00352",22.3872,"Potency","qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1)","Confirmatory",NA
"B.399",1224839,8343,144214045,"Active",66775687,9970,"NR1I3","Q14994",17.2289,"Potency","qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway","Confirmatory",NA
"B.400",1224843,8343,144214045,"Active",119601739,7253,"TSHR","A0A0A0MTJ0",3.8571,"Potency","qHTS assay to identify small molecule agonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway","Confirmatory",NA
"B.401",1259383,8343,144214045,"Active",348019627,2099,"ESR1","G4XH65",27.306,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway in the presence of an antagonist","Confirmatory",NA
"B.402",1346784,8343,144214045,"Active",82393684,5241,"PGR","P06401",43.2771,"Potency","qHTS assay to identify small molecule agonists of the progesterone receptor (PR) signaling pathway","Confirmatory",NA
"B.403",1346982,8343,144214045,"Active",325495557,8856,"NR1I2","O75469",6.859,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.404",1645841,8343,144214045,"Active",115371803,1576,"CYP3A4","P08684",6.3261,"Potency","Cytochrome P450 family 3 subfamily A member 4 (CYP3A4) small molecule antagonists: luciferase cell-based qHTS assay","Confirmatory",NA
"B.405",1671197,8343,144214045,"Active",55140668,1557,"CYP2C19","P33261",14.1623,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.406",1671198,8343,144214045,"Active",527178914,1559,"CYP2C9","P11712",7.098,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.407",1671199,8343,144214045,"Active",119619719,1544,"CYP1A2","P05177",17.8293,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.408",1671201,8343,144214045,"Active",115371803,1576,"CYP3A4","P08684",3.1706,"Potency","Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.409",1671197,31256,144208464,"Active",55140668,1557,"CYP2C19","P33261",40.5997,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.410",504734,3026,56462803,"Active",194068499,54106,"TLR9","Q9NR96",NA,NA,"Fluorescence-based cell-based primary high throughput screening assay to identify inhibitors of TLR9-MyD88 binding.","Screening",NA
"B.411",602252,3026,56462803,"Active",62868213,57120,"GOPC","Q9HD26",NA,NA,"Fluorescence Polarization with CAL-PDZ Measured in Biochemical System Using Plate Reader - 2109-02_Inhibitor_SinglePoint_HTS_Activity","Screening",NA
"B.412",602252,3026,56462803,"Active",90421313,1080,"CFTR","A0A024R730",NA,NA,"Fluorescence Polarization with CAL-PDZ Measured in Biochemical System Using Plate Reader - 2109-02_Inhibitor_SinglePoint_HTS_Activity","Screening",NA
"B.413",743079,3026,144208927,"Active",348019627,2099,"ESR1","G4XH65",76.9588,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line","Confirmatory",NA
"B.414",1159528,3026,144211297,"Active",119627033,3725,"JUN","P05412",37.4309,"Potency","qHTS assay to identify small molecule agonists of the AP-1 signaling pathway: Summary","Summary",NA
"B.415",1346556,3026,178102915,"Active",116534990,8989,"TRPA1","O75762",NA,NA,"Human TRPA1 (Transient Receptor Potential channels)","Other",19135264
"B.416",1508602,3026,333494432,"Active",48428097,134391,"GPR151","Q8TDV0",NA,NA,"Cell-based high throughput primary assay to identify activators of GPR151","Screening",NA
"B.417",1671197,3026,144208927,"Active",55140668,1557,"CYP2C19","P33261",5.6427,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.418",1671197,3026,144211297,"Active",55140668,1557,"CYP2C19","P33261",3.9915,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.419",1671198,3026,144208927,"Active",527178914,1559,"CYP2C9","P11712",35.6032,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.420",1671198,3026,144211297,"Active",527178914,1559,"CYP2C9","P11712",35.5742,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.421",1671199,3026,144208927,"Active",119619719,1544,"CYP1A2","P05177",5.0291,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.422",1671199,3026,144211297,"Active",119619719,1544,"CYP1A2","P05177",8.9358,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.423",241172,4685,103464714,"Active",1746750942,1548,"CYP2A6","P11509",17,"IC50","Inhibitory concentration against human cytochrome P450 2A6","Confirmatory",15658857
"B.424",420671,4685,103464714,"Active",1746750942,1548,"CYP2A6","P11509",16.9824,"IC50","Inhibition of human CYP2A6","Confirmatory",19110342
"B.425",513047,4685,103464714,"Active",77416852,836,"CASP3","P42574",NA,NA,"Inhibition of human caspase-3-mediated apoptosis assessed as appearance of [35]S methionine-labeled PARP cleavage product at 100 uM after 2 hrs by fluorescence assay","Other",16699520
"B.426",513048,4685,103464714,"Active",77416852,836,"CASP3","P42574",NA,NA,"Inhibition of human caspase-3-mediated apoptosis assessed as Ac-DEVD-7-amino-4-methylcoumarin cleavage product at 100 uM by fluorescence assay","Other",16699520
"B.427",1259369,4685,144207597,"Active",109731339,2737,"GLI3","P10071",0.3853,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway","Confirmatory",NA
"B.428",1346982,4685,144207597,"Active",325495557,8856,"NR1I2","O75469",1.9312,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.429",1159531,8113,144210354,"Active",325495497,6256,"RXRA","Q6P3U7",19.4938,"Potency","qHTS assay to identify small molecule agonists of the RXR signaling pathway: Summary","Summary",NA
"B.430",1346982,8113,144208899,"Active",325495557,8856,"NR1I2","O75469",54.4827,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.431",1671199,7497,144210357,"Active",119619719,1544,"CYP1A2","P05177",31.7055,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.432",1259369,8117,144208814,"Active",109731339,2737,"GLI3","P10071",4.4557,"Potency","qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway","Confirmatory",NA
"B.433",1346978,8117,144208814,"Active",16516817,836,"CASP3","P42574",31.5436,"Potency","Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay","Confirmatory",NA
"B.434",1346978,8117,144208814,"Active",30582205,840,"CASP7","P55210",31.5436,"Potency","Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay","Confirmatory",NA
"B.435",1346982,8117,144208814,"Active",325495557,8856,"NR1I2","O75469",62.9378,"Potency","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Confirmatory",NA
"B.436",1671197,8117,144208814,"Active",55140668,1557,"CYP2C19","P33261",82.0506,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA
"B.437",884,7586,17389046,"Active",13435386,1576,"CYP3A4","P08684",15.8489,"Potency","qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4","Confirmatory",NA
"B.438",902,7586,17389046,"Active",120407068,7157,"TP53","K7PPA8",25.1189,"Potency","qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Nonpermissive Temperature","Confirmatory",NA
"B.439",588513,7586,17389046,"Active",348019627,2099,"ESR1","G4XH65",31.6228,"Potency","qHTS assay for small molecule antagonists of estrogen receptor alpha signaling","Confirmatory",NA
"B.440",651631,7586,144207866,"Active",269849759,7157,"TP53","K7PPA8",21.5136,"Potency","qHTS assay for small molecule agonists of the p53 signaling pathway","Confirmatory",NA
"B.441",651741,7586,17389046,"Active",20149576,4780,"NFE2L2","Q16236",29.8493,"Potency","qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway","Confirmatory",NA
"B.442",651743,7586,17389046,"Active",269849759,7157,"TP53","K7PPA8",25.1189,"Potency","qHTS assay for small molecule activators of the p53 signaling pathway","Confirmatory",NA
"B.443",651758,7586,17389046,"Active",186368,3576,"CXCL8","A0A024RDA5",42.1632,"Potency","qHTS assay to identify small molecules that stimulate interleukin-8 (IL-8) secretion","Confirmatory",NA
"B.444",720552,7586,144207866,"Active",269849759,7157,"TP53","K7PPA8",23.2299,"Potency","qHTS assay for small molecule agonists of the p53 signaling pathway: Summary","Summary",NA
"B.445",743083,7586,144207866,"Active",119597822,1588,"CYP19A1","A0A024R5S8",38.2572,"Potency","qHTS assay to identify aromatase inhibitors","Confirmatory",NA
